164,165,159,1,		//下地のカラーR,G,B,点線,
6
1464,5726
1870,5648
1668,5462
1854,5352
1734,5210
1740,4993
6
1564,4893
1703,4713
1992,4838
2206,5117
2441,4926
2371,4603
6
2086,4513
1848,4327
1626,4503
1292,4575
1040,4299
1327,4250
6
1590,4056
2046,3981
2447,3875
2081,3736
2342,3478
1761,3519
6
1331,3683
1151,4021
792,4195
926,3868
771,3606
569,3746
6
431,3355
602,3181
1018,2944
733,2668
310,2543
393,2306
6
598,1951
1044,1824
1236,2091
1486,2193
1500,2619
1192,2501
6
1222,2815
1126,3102
1557,3099
1887,2945
2310,3116
2156,2877
6
2066,2738
1804,2623
2010,2328
2328,2335
2462,2689
2753,2629
6
2876,2320
2720,2090
2193,2144
1848,1942
1687,1623
2163,1896
6
2239,1728
2482,1486
2221,1260
2278,769
1941,995
2365,394
//ステージ数
//x,y,
