0,0,0,1,163,195,0
1,15,1,10,164,196,1
2,1,0,2,165,197,0
3,2,0,3,166,198,0
4,16,1,11,167,199,1
5,17,1,12,168,200,1
6,18,1,13,169,201,1
7,3,0,4,170,202,0
8,4,0,5,171,203,0
9,5,0,6,172,204,0
10,27,1,16,173,205,1
11,7,0,7,174,206,0
12,9,0,8,175,207,0
13,30,1,17,176,208,1
14,28,1,0,177,209,1
15,38,1,48,178,210,3
16,52,1,0,179,211,1
17,53,1,0,180,212,1
18,34,1,44,181,213,3
19,35,1,45,182,214,3
20,36,1,46,183,215,3
21,37,1,47,184,216,3
22,51,1,0,185,217,1
23,20,1,0,-1,258,1
24,21,1,14,259,260,1
25,46,1,23,186,218,1
26,24,1,15,263,264,1
27,41,1,49,261,262,3
28,54,1,0,111,112,1
29,23,1,0,-1,110,1
30,42,1,29,115,116,3
31,10,0,9,265,266,0
32,55,1,18,42,43,3
33,56,1,19,44,45,3
34,57,1,20,46,47,3
35,58,1,21,48,49,3
36,59,1,22,50,51,3
37,61,1,24,52,53,3
38,68,1,25,91,92,4
39,69,1,26,93,94,4
40,66,1,27,95,96,4
41,67,1,28,97,98,4
42,62,1,30,108,109,3
43,65,1,31,117,118,4
44,64,1,32,119,120,4
45,8,0,0,113,114,0
46,6,0,0,121,122,0
47,71,2,33,219,-1,-1
48,72,2,34,220,-1,-1
49,73,2,35,221,-1,-1
50,74,2,36,222,-1,-1
51,75,2,37,223,-1,-1
52,76,2,38,224,-1,-1
53,77,2,39,225,-1,-1
54,78,2,40,226,-1,-1
55,79,2,41,227,-1,-1
56,26,1,50,228,229,1
57,12,0,51,230,231,0
58,32,1,56,238,239,1
59,43,1,53,236,237,3
60,11,0,60,288,289,0
61,39,1,55,242,243,3
62,29,1,62,292,293,1
63,63,1,52,234,235,3
64,60,1,54,240,241,3
65,25,1,58,295,296,1
66,80,2,57,294,-1,-1
67,81,1,63,298,297,2
68,22,1,59,299,300,1
69,82,1,64,301,302,2
70,70,1,61,306,305,4
71,31,1,65,309,310,1
72,44,1,68,314,315,1
73,47,1,0,316,317,1
74,83,1,66,318,319,2
75,19,1,0,320,321,1
76,50,1,0,-1,999,-1
77,13,0,0,-1,329,-1
78,45,1,0,-1,332,-1
79,48,1,0,-1,330,-1
80,49,1,0,-1,331,-1
81,33,1,67,336,335,1
82,40,1,69,338,337,3
83,14,0,0,-1,389,-1
