11,1,0,0,0,0,   //城番号,,,,,,
5300,2400000,1,1,222,20,0,0,0,0,,,
286,2,50,400,500,100,7,9,0,300
609,2,100,400,500,100,7,9,0,200
293,1,200,1,1,100,4,9,0,300
286,5,0,300,400,99,7,9,0,300
609,5,0,400,500,99,7,9,0,200
293,2,0,600,700,99,4,9,0,300
471,4,100,300,500,99,7,9,0,200,0,0,1
120,4,200,400,500,99,7,9,0,500,0,0,1
40,1,600,1,1,99,2,2,0,300,0,0,1
295,1,0,1,1,99,2,2,1,300,0,0
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
0,0,0,0,0,0,0,9,0,100,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
//敵は１ステージ最大１０種類,,,,,,,,,,,,
