0,1,1000
0,2,1000
0,3,1000
1,1,1000
1,2,1000
1,3,1000
2,1,400
2,2,400
2,3,400
3,1,400
3,2,400
3,3,400
4,1,100
4,2,100
4,3,100
5,1,100
5,2,100
5,3,100
6,1,400
6,2,400
6,3,400
7,1,400
7,2,400
7,3,400
8,1,100
8,2,100
8,3,100
9,1,0
9,2,0
9,3,0
10,1,0
10,2,0
10,3,0
11,1,0
11,2,0
11,3,0
12,1,0
12,2,0
12,3,0
13,1,350
13,2,350
13,3,350
14,1,350
14,2,350
14,3,350
15,1,0
15,2,0
15,3,0
16,1,0
16,2,0
16,3,0
17,1,0
17,2,0
17,3,0
18,1,350
18,2,350
18,3,350
19,1,0
19,2,0
19,3,0
20,1,0
20,2,0
20,3,0
21,1,350
21,2,350
21,3,350
22,1,250
22,2,250
22,3,250
23,1,0
23,2,0
23,3,0
24,1,250
24,2,250
24,3,250
25,1,500
25,2,500
25,3,500
26,1,0
26,2,0
26,3,0
27,1,0
27,2,0
28,1,0
28,2,0
29,1,0
29,2,0
30,1,100
30,2,100
30,3,100
31,1,350
31,2,350
31,3,350
32,1,400
32,2,400
32,3,400
33,1,400
33,2,400
33,3,400
34,1,0
34,2,250
34,3,250
35,1,0
35,2,0
35,3,0
36,1,400
36,2,400
36,3,400
37,1,500
37,2,500
37,3,500
38,1,350
38,2,350
38,3,350
39,1,350
39,2,350
39,3,350
40,1,100
40,2,100
40,3,100
41,1,500
41,2,500
41,3,500
42,1,400
42,2,400
42,3,400
43,1,400
43,2,400
43,3,400
44,1,400
44,2,400
44,3,400
45,1,0
45,2,0
46,1,100
46,2,100
46,3,100
47,1,500
47,2,500
47,3,500
48,1,350
48,2,350
48,3,350
49,1,100
49,2,100
49,3,100
50,1,350
50,2,350
50,3,350
51,1,350
51,2,350
51,3,350
52,1,350
52,2,350
52,3,350
53,1,0
53,2,0
54,1,0
54,2,0
55,1,100
55,2,100
55,3,100
56,1,100
56,2,100
56,3,100
57,1,350
57,2,350
57,3,350
58,1,400
58,2,400
58,3,400
59,1,400
59,2,400
59,3,400
59,4,400
60,1,350
60,2,350
60,3,350
61,1,400
61,2,400
61,3,400
62,1,0
62,2,0
63,1,0
63,2,0
63,3,0
64,1,100
64,2,100
65,1,100
65,2,100
66,1,350
66,2,350
66,3,350
67,1,500
67,2,500
67,3,500
68,1,100
68,2,100
68,3,100
69,1,0
69,2,0
69,3,0
70,1,0
70,2,0
70,3,0
71,1,400
71,2,400
71,3,400
72,1,400
72,2,400
72,3,400
73,1,400
73,2,400
73,3,400
73,4,400
74,1,0
74,2,0
74,3,0
75,1,400
75,2,400
75,3,400
75,4,400
76,1,400
76,2,400
76,3,400
76,4,400
77,1,350
77,2,350
77,3,350
78,1,0
78,2,0
78,3,0
79,1,0
79,2,0
79,3,0
80,1,0
80,2,0
80,3,0
81,1,0
81,2,0
81,3,0
82,1,0
82,2,0
83,1,350
83,2,350
83,3,350
84,1,350
84,2,350
84,3,350
85,1,350
85,2,350
85,3,350
86,1,350
86,2,350
86,3,350
87,1,400
87,2,400
87,3,400
88,1,0
88,2,0
88,3,0
89,1,350
89,2,350
90,1,350
90,2,350
91,1,1200
91,2,1200
91,3,1200
